,Time,Count
0,0-0,[11.11561107635498]
1,0-1,[7.322031497955322]
2,0-3,[9.248875617980957]
3,0-4,[12.293315887451172]
4,0-5,[12.067339897155762]
5,0-6,[8.409303665161133]
6,0-7,[8.742483139038086]
7,0-8,[9.288382530212402]
8,0-9,[5.7319207191467285]
9,0-10,[9.334431648254395]
10,0-11,[8.983231544494629]
11,0-12,[10.950167655944824]
12,0-13,[1.9623992443084717]
13,0-14,[7.3395586013793945]
14,0-16,[10.99232292175293]
15,0-17,[9.834325790405273]
16,0-18,[7.162688732147217]
17,0-19,[13.587496757507324]
18,0-20,[5.495621681213379]
19,0-21,[9.828083992004395]
20,0-22,[8.424432754516602]
21,0-23,[4.23698616027832]
22,0-24,[7.025365829467773]
23,0-25,[3.151965618133545]
24,0-26,[9.669659614562988]
25,0-27,[7.223166465759277]
26,0-29,[8.65404987335205]
27,0-30,[4.149921417236328]
28,0-31,[7.250558853149414]
29,0-32,[6.706839561462402]
30,0-33,[7.563825607299805]
31,0-34,[7.533426284790039]
32,0-35,[8.638906478881836]
33,0-36,[8.97776985168457]
34,0-37,[5.691098690032959]
35,0-38,[5.911340713500977]
36,0-39,[8.025652885437012]
37,0-40,[8.679584503173828]
38,0-42,[10.1537504196167]
39,0-43,[5.142938137054443]
40,0-44,[10.201454162597656]
41,0-45,[11.80156135559082]
42,0-46,[2.7108116149902344]
43,0-47,[7.915225982666016]
44,0-48,[11.516889572143555]
45,0-49,[5.986231803894043]
46,0-50,[8.01750659942627]
47,0-51,[11.35768985748291]
48,0-53,[11.663575172424316]
49,0-54,[12.68822956085205]
50,0-55,[9.664961814880371]
51,0-56,[8.43503189086914]
52,0-57,[9.319049835205078]
53,0-58,[12.754619598388672]
54,0-59,[5.920683860778809]
55,1-0,[8.940122604370117]
56,1-1,[11.998074531555176]
57,1-2,[6.941823959350586]
58,1-3,[9.494649887084961]
59,1-4,[8.823869705200195]
60,1-6,[6.745513916015625]
61,1-7,[15.186321258544922]
62,1-8,[5.69289493560791]
63,1-9,[4.408648490905762]
64,1-10,[7.623294353485107]
65,1-11,[9.965813636779785]
66,1-12,[9.829607009887695]
67,1-13,[8.812997817993164]
68,1-14,[5.915413856506348]
69,1-15,[10.901293754577637]
70,1-16,[9.336685180664062]
71,1-17,[12.01883602142334]
72,1-19,[8.326987266540527]
73,1-20,[7.803898811340332]
74,1-21,[5.51653528213501]
75,1-22,[11.84433364868164]
76,1-23,[9.812335968017578]
77,1-24,[6.463005065917969]
78,1-25,[7.304251194000244]
79,1-26,[5.086343765258789]
80,1-27,[8.365311622619629]
81,1-28,[5.63055419921875]
82,1-29,[7.184211730957031]
83,1-30,[9.082063674926758]
84,1-32,[6.9668073654174805]
85,1-33,[16.04836654663086]
86,1-34,[4.305027961730957]
87,1-35,[7.193469047546387]
88,1-36,[8.234785079956055]
89,1-37,[7.248072147369385]
90,1-38,[7.0051984786987305]
91,1-39,[7.1310224533081055]
92,1-40,[9.845338821411133]
93,1-41,[8.046270370483398]
94,1-42,[7.395572662353516]
95,1-43,[7.02512264251709]
96,1-45,[4.781249523162842]
97,1-46,[10.271011352539062]
98,1-47,[1.168817400932312]
99,1-48,[9.357319831848145]
100,1-49,[4.611394882202148]
101,1-50,[10.619502067565918]
102,1-51,[9.044454574584961]
103,1-52,[6.053435802459717]
104,1-53,[14.271698951721191]
105,1-54,[4.690740585327148]
106,1-55,[10.5838041305542]
107,1-56,[6.16433572769165]
108,1-58,[9.694101333618164]
109,1-59,[8.316149711608887]
110,2-0,[2.596698522567749]
111,2-1,[7.974506378173828]
112,2-2,[7.4445576667785645]
113,2-3,[3.5897088050842285]
114,2-4,[9.132871627807617]
115,2-5,[5.124774932861328]
116,2-6,[9.936853408813477]
117,2-7,[10.610025405883789]
118,2-8,[13.452388763427734]
119,2-9,[6.462714672088623]
120,2-11,[10.82349681854248]
121,2-12,[8.849523544311523]
122,2-13,[7.334582328796387]
123,2-14,[5.158604621887207]
124,2-15,[11.428373336791992]
125,2-16,[10.782087326049805]
126,2-17,[5.866382598876953]
127,2-18,[12.761611938476562]
128,2-19,[7.411713123321533]
129,2-20,[8.799415588378906]
130,2-21,[6.742698669433594]
131,2-22,[4.86151123046875]
132,2-24,[6.800326824188232]
133,2-25,[10.700767517089844]
134,2-26,[10.560644149780273]
135,2-27,[6.373668670654297]
136,2-28,[8.936887741088867]
