,Time,Count
0,55-33,32.74006271362305
1,55-34,32.57360076904297
2,55-36,32.81056594848633
3,55-38,32.79574203491211
4,55-39,33.260276794433594
5,55-41,29.945274353027344
6,55-43,33.51913833618164
7,55-44,28.840946197509766
8,55-46,30.335079193115234
9,55-48,28.353553771972656
10,55-49,25.380064010620117
11,55-51,30.9533748626709
12,55-53,26.62612533569336
13,55-54,18.878652572631836
14,55-56,21.550804138183594
15,55-58,25.79606056213379
16,55-59,15.739242553710938
17,56-1,24.157089233398438
18,56-2,22.190185546875
19,56-4,19.487457275390625
20,56-6,22.865406036376953
21,56-7,25.12914276123047
22,56-9,23.87220001220703
23,56-11,24.617477416992188
24,56-12,24.78536605834961
25,56-14,28.137636184692383
26,56-16,28.783191680908203
27,56-17,29.183185577392578
28,56-19,24.79270362854004
29,56-21,31.267168045043945
30,56-22,33.099891662597656
31,56-24,34.174293518066406
32,56-26,26.133150100708008
33,56-27,35.28384780883789
34,56-29,37.98700714111328
35,56-31,37.31739044189453
36,56-32,37.49238204956055
37,56-34,37.0755729675293
38,56-36,36.176551818847656
39,56-37,34.19887924194336
40,56-39,33.574031829833984
41,56-41,33.83365249633789
42,56-42,34.78103256225586
43,56-44,33.840049743652344
44,56-46,33.278953552246094
45,56-47,33.16797637939453
46,56-49,32.88090515136719
47,56-51,37.21471405029297
48,56-52,32.812896728515625
49,56-54,38.24591827392578
50,56-56,37.73899459838867
51,56-57,35.76709747314453
52,56-59,34.66443634033203
53,57-0,34.132713317871094
54,57-2,36.182403564453125
55,57-4,33.24549102783203
56,57-5,33.51156997680664
57,57-7,33.38307571411133
58,57-9,29.18737030029297
59,57-10,29.07332992553711
60,57-12,29.48904037475586
61,57-14,31.053510665893555
62,57-15,34.02737045288086
63,57-17,31.79070281982422
64,57-19,31.044166564941406
65,57-20,33.755859375
66,57-22,28.348251342773438
67,57-24,32.72087860107422
68,57-25,31.238754272460938
69,57-27,30.600509643554688
70,57-29,29.990013122558594
71,57-30,32.16248321533203
72,57-32,27.497983932495117
73,57-34,25.34602165222168
74,57-35,20.081809997558594
75,57-37,26.513263702392578
76,57-38,27.734554290771484
77,57-40,26.298002243041992
78,57-42,27.408954620361328
79,57-43,29.545578002929688
80,57-45,32.99077606201172
81,57-47,26.262371063232422
82,57-48,32.12854766845703
83,57-50,34.50177764892578
84,57-52,32.17791748046875
85,57-53,33.22594451904297
86,57-55,31.8696231842041
87,57-57,26.439266204833984
88,57-58,29.967571258544922
89,58-0,32.989532470703125
90,58-2,31.4150390625
91,58-3,29.85167694091797
92,58-5,29.399227142333984
93,58-7,24.463886260986328
94,58-8,25.190593719482422
95,58-10,24.75065803527832
96,58-11,28.625154495239258
97,58-13,19.59926986694336
98,58-15,19.601722717285156
99,58-16,26.656585693359375
100,58-18,24.804100036621094
101,58-20,24.84432601928711
102,58-21,24.20574188232422
103,58-23,23.321643829345703
104,58-25,20.650657653808594
105,58-26,22.08888053894043
106,58-28,18.59990692138672
107,58-30,19.20501708984375
108,58-31,14.63930892944336
109,58-33,13.776898384094238
110,58-35,10.020942687988281
111,58-36,12.544942855834961
112,58-38,12.64179515838623
113,58-40,10.86989974975586
114,58-41,10.467870712280273
115,58-43,7.135677337646484
116,58-44,8.674342155456543
117,58-46,6.4939165115356445
118,58-48,5.5283660888671875
119,58-49,5.6228203773498535
120,58-51,5.980886459350586
121,58-53,7.027409076690674
122,58-54,6.525519847869873
123,58-56,7.109045028686523
124,58-58,6.92272424697876
125,58-59,9.11878776550293
126,59-1,12.69268798828125
127,59-3,10.886223793029785
128,59-4,14.910439491271973
129,59-6,18.24013900756836
130,59-8,19.603912353515625
131,59-9,19.625411987304688
132,59-11,19.01238250732422
133,59-13,20.446334838867188
134,59-14,17.193443298339844
135,59-16,20.605518341064453
136,59-18,19.88010025024414
137,59-19,17.083498001098633
138,59-21,18.071109771728516
139,59-22,20.000913619995117
140,59-24,27.87924575805664
141,59-26,20.630760192871094
142,59-27,24.55249786376953
143,59-29,23.09815216064453
144,59-31,25.92422103881836
145,59-32,27.359302520751953
146,59-34,26.395843505859375
147,59-36,25.280452728271484
148,59-37,28.491058349609375
149,59-39,28.652545928955078
150,59-41,30.092632293701172
151,59-42,29.12442398071289
152,59-44,29.08359718322754
153,59-46,27.253856658935547
154,59-47,26.356975555419922
155,59-49,29.565210342407227
156,59-51,26.43189811706543
157,59-52,24.714099884033203
158,59-54,26.810441970825195
159,59-55,24.114749908447266
160,59-57,23.19955825805664
161,59-59,21.719751358032227
